Word,TTL,Stutter Incidence
kentaid,1,0
supwig,2,1
aftyss,3,2
fackton,4,3
geincher,5,0
heelon,6,1
jombinn,7,2
istum,8,3
tayvauk,9,0
noltowf,10,1
chovag,11,2
vachayp,12,3
kaftogrop,13,0
sikanthod,14,1
amberill,15,2
fovilan,16,3
ginstabul,17,0
hestomee,18,1
inkista,19,2
jellantif,20,3
cheenoytowb,21,0
nychovayb,22,1
doytowvab,23,2
tayvoichyg,24,3
jigventovile,25,0
castipailty,26,1
antiskoldate,27,2
digantulin,28,3
finraptoking,29,0
gundoctipeel,30,1
hissydogene,31,2
imlacsodock,32,3
vaytawchidoyp,33,0
davonoychig,34,1
nychoytowvub,35,2
tavacheenyg,36,3
zoobenifferaltopine,37,0
vampontigeezitricay,38,1
askenidobiskulate,39,2
daybishocksinallobit,40,3
fommigavelontlpan,41,0
gisorakidopulin,42,1
hundinoterality,43,2
infaskovijideent,44,3
jedabuloskeramic,45,0
kaddenisonomacy,46,1
saconimbenalopy,47,2
umpickerrannitizer,48,3
